CellID,Class,ClassName,Confidence,Circularity,Area_px2,Reason
1,2,abnormal_shape,0.4212,0.9984,2455,"stardist: score=0.421"
2,1,normal,0.4722,0.8653,2100,"stardist: score=0.472"
3,2,abnormal_shape,0.2176,0.9922,3772,"stardist: score=0.218"
4,1,normal,0.6030,0.9876,361,"stardist: score=0.603"
5,1,normal,0.4661,0.9437,2336,"stardist: score=0.466"
6,1,normal,0.5860,1.0000,632,"stardist: score=0.586"
7,3,abnormal_count,0.2097,0.8495,4340,"stardist: score=0.210"
8,1,normal,0.4946,0.9226,1925,"stardist: score=0.495"
9,1,normal,0.6043,0.7768,282,"stardist: score=0.604"
10,2,abnormal_shape,0.3576,0.8455,2744,"stardist: score=0.358"
11,1,normal,0.5561,0.9462,1720,"stardist: score=0.556"
12,2,abnormal_shape,0.1982,0.9369,3925,"stardist: score=0.198"
13,1,normal,0.5213,0.9674,133,"stardist: score=0.521"
14,1,normal,0.0000,1.0000,92,"stardist: score=0.000"
15,1,normal,0.0000,1.0000,98,"stardist: score=0.000"
